agent_id,agent_type,tier,model,provider
ar_avatar_renderer,creative,curated,claude-sonnet-4-5-20250929,anthropic
ar_beacon,creative,curated,claude-sonnet-4-5-20250929,anthropic
ar_card_producer,creative,curated,claude-sonnet-4-5-20250929,anthropic
ar_cartographer,creative,curated,claude-sonnet-4-5-20250929,anthropic
ar_choreographer,creative,curated,claude-sonnet-4-5-20250929,anthropic
bluesky_publisher,creative,curated,claude-haiku-4-5-20251001,anthropic
cohere_and_coordinate,coherence,curated,claude-sonnet-4-5-20250929,anthropic
coherence_consultant,coherence,curated,claude-sonnet-4-5-20250929,anthropic
coherence_evaluator,coherence,curated,deterministic,anthropic
companion_builder_coach,companion,curated,claude-sonnet-4-5-20250929,anthropic
daily_puzzle,game,curated,claude-haiku-4-5-20251001,anthropic
deal_finder,research,curated,claude-sonnet-4-5-20250929,anthropic
delivery,creative,curated,claude-haiku-4-5-20251001,anthropic
dream_narrator,meta,curated,claude-haiku-4-5-20251001,anthropic
embedding_broker,commerce,curated,claude-haiku-4-5-20251001,anthropic
embedding_projector_guide,research,curated,claude-sonnet-4-5-20250929,anthropic
enemy_sensor,research,curated,claude-haiku-4-5-20251001,anthropic
entity_investigator,osint,curated,claude-sonnet-4-5-20250929,anthropic
flight_coordinator,creative,system,claude-sonnet-4-5-20250929,anthropic
genome_profiler,research,curated,claude-haiku-4-5-20251001,anthropic
instagram_publisher,creative,curated,claude-haiku-4-5-20251001,anthropic
intention_coordinator,coherence,system,claude-haiku-4-5-20251001,anthropic
keeper,creative,system,claude-sonnet-4-5-20250929,anthropic
macro_forecaster,research,curated,claude-sonnet-4-5-20250929,anthropic
market_research,research,curated,claude-3-haiku-20240307,anthropic
micro_patron_template,creative,curated,claude-sonnet-4-5-20250929,anthropic
monte_carlo_sim,research,curated,claude-sonnet-4-5-20250929,anthropic
naturalist,creative,system,claude-sonnet-4-5-20250929,anthropic
navigator,creative,system,claude-sonnet-4-5-20250929,anthropic
observation_analyst,research,curated,claude-sonnet-4-5-20250929,anthropic
performance_coach,meta,curated,claude-sonnet-4-5-20250929,anthropic
preference_modeler,analytics,curated,claude-haiku-4-5-20251001,anthropic
prey_locator,research,curated,claude-haiku-4-5-20251001,anthropic
publish_coach,meta,curated,claude-sonnet-4-5-20250929,anthropic
rabble_anchor_manager,compound,system,claude-sonnet-4-5-20250929,anthropic
rabble_curator,commerce,curated,claude-sonnet-4-5-20250929,anthropic
rabble_lifecycle_coordinator,compound,system,claude-sonnet-4-5-20250929,anthropic
reynolds_flock,research,system,claude-haiku-4-5-20251001,anthropic
sentiment_analyzer,sentiment,curated,claude-3-haiku-20240307,anthropic
shopping_assistant,commerce,curated,claude-sonnet-4-5-20250929,anthropic
social_media_studio,creative,curated,claude-sonnet-4-5-20250929,anthropic
species_resolver,research,curated,claude-haiku-4-5-20251001,anthropic
specimen_minter,creative,curated,claude-sonnet-4-5-20250929,anthropic
stripe_billing,meta,system,claude-sonnet-4-5-20250929,anthropic
stripe_connect_advisor,meta,curated,claude-sonnet-4-5-20250929,anthropic
style_transfer,creative,curated,claude-haiku-4-5-20251001,anthropic
swarm_coordinator,research,curated,claude-sonnet-4-5-20250929,anthropic
swarm_host,creative,system,claude-sonnet-4-5-20250929,anthropic
video_analyst,creative,curated,claude-haiku-4-5-20251001,anthropic
watermark,creative,curated,claude-haiku-4-5-20251001,anthropic
wing_segmenter,creative,curated,claude-sonnet-4-5-20250929,anthropic
xaman_ek,meta,system,claude-haiku-4-5-20251001,anthropic
coherence_evaluator,coherence,curated,deterministic,
